Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2014-09-17 00:00:00+00:00,28443.328125,28542.228515625,27552.5,27851.640625,1282359120,0.0,0.0
2014-09-18 00:00:00+00:00,27822.7734375,27822.7734375,25085.740234375,25774.119140625,2093992320,0.0,0.0
2014-09-19 00:00:00+00:00,25753.654296875,25988.8359375,23366.087890625,24023.3359375,2307413745,0.0,0.0
2014-09-20 00:00:00+00:00,24015.8515625,25757.560546875,23724.380859375,24881.80859375,2243150060,0.0,0.0
2014-09-21 00:00:00+00:00,24831.97265625,25096.12109375,23925.064453125,24268.2578125,1617399085,0.0,0.0
2014-09-22 00:00:00+00:00,24285.236328125,24728.28515625,24137.5625,24503.12109375,1470094668,0.0,0.0
2014-09-23 00:00:00+00:00,24499.466796875,26952.640625,24156.130859375,26600.681640625,2752873480,0.0,0.0
2014-09-24 00:00:00+00:00,26598.2421875,26620.27734375,25663.783203125,25785.87890625,1866145761,0.0,0.0
2014-09-25 00:00:00+00:00,25782.89453125,25805.072265625,25112.671875,25241.833984375,1644527152,0.0,0.0
2014-09-26 00:00:00+00:00,25232.939453125,25448.146484375,24468.55078125,24726.54296875,1312113312,0.0,0.0
2014-09-27 00:00:00+00:00,24673.4140625,24860.9296875,24295.32421875,24426.65234375,918891402,0.0,0.0
2014-09-28 00:00:00+00:00,24423.658203125,24518.1796875,22886.658203125,23060.845703125,1443717162,0.0,0.0
2014-09-29 00:00:00+00:00,23045.37890625,23707.810546875,22864.841796875,23108.1171875,2000070947,0.0,0.0
2014-09-30 00:00:00+00:00,23146.3359375,24211.25,22983.548828125,23961.5078125,2149249553,0.0,0.0
2014-10-01 00:00:00+00:00,23991.41796875,24200.919921875,23497.93359375,23672.880859375,1618616274,0.0,0.0
2014-10-02 00:00:00+00:00,23695.900390625,23765.890625,22949.232421875,23080.0546875,1340090770,0.0,0.0
2014-10-03 00:00:00+00:00,23086.763671875,23241.462890625,22020.853515625,22122.5703125,1901505342,0.0,0.0
2014-10-04 00:00:00+00:00,22145.955078125,22428.70703125,20053.39453125,20236.76953125,2906698028,0.0,0.0
2014-10-05 00:00:00+00:00,20239.845703125,21032.724609375,17801.828125,19722.583984375,5126363687,0.0,0.0
2014-10-06 00:00:00+00:00,19715.13671875,21237.8203125,18618.029296875,20311.412109375,4861991113,0.0,0.0
2014-10-07 00:00:00+00:00,20342.48828125,20829.765625,19690.4140625,20604.90234375,3015461871,0.0,0.0
2014-10-08 00:00:00+00:00,20600.548828125,21740.232421875,20099.158203125,21652.869140625,3358072005,0.0,0.0
2014-10-09 00:00:00+00:00,21641.08984375,23315.66796875,21221.076171875,22281.1875,5105452988,0.0,0.0
2014-10-10 00:00:00+00:00,22260.49609375,22942.84765625,21626.04296875,22152.904296875,2675397439,0.0,0.0
2014-10-11 00:00:00+00:00,22140.650390625,22497.79296875,21809.1171875,22198.060546875,817660404,0.0,0.0
2014-10-12 00:00:00+00:00,22216.869140625,23247.861328125,21820.943359375,23193.697265625,1075460056,0.0,0.0
2014-10-13 00:00:00+00:00,23155.21875,24228.80078125,22591.251953125,23813.302734375,2148329293,0.0,0.0
2014-10-14 00:00:00+00:00,23891.251953125,25169.15625,23868.80859375,24607.404296875,2362800727,0.0,0.0
2014-10-15 00:00:00+00:00,24612.62109375,24632.380859375,23858.568359375,24227.21875,1550641927,0.0,0.0
2014-10-16 00:00:00+00:00,24211.5703125,24474.78515625,23068.783203125,23611.35546875,1665822800,0.0,0.0
2014-10-17 00:00:00+00:00,23623.701171875,23649.07421875,23063.900390625,23543.552734375,834402945,0.0,0.0
2014-10-18 00:00:00+00:00,23556.927734375,24242.943359375,23249.87109375,24014.966796875,700420680,0.0,0.0
2014-10-19 00:00:00+00:00,24003.43359375,24168.158203125,23709.13671875,23898.646484375,362858870,0.0,0.0
2014-10-20 00:00:00+00:00,23879.3203125,23888.744140625,23177.392578125,23437.771484375,1005171180,0.0,0.0
2014-10-21 00:00:00+00:00,23411.8125,24004.412109375,23314.658203125,23627.150390625,867438401,0.0,0.0
